Actress Name,Picture URL
Nia Patilvanshi (aka Janhvi Patil),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhaLbpyTWXs7C8lS0offS5rgh-eJpjbffEbQJMwEBy2SxTsyFXlDb9WUdCZnMknOnRxcwDJNOKZ_bmIcYJ165pTG4i0L3Ss9zcqZ71JtPz4_O5fRjshfnoiMuAZ74q7e8Xk1v9dgYhoESL4mv_ul_39EtRcS4jjO6y1hxeciKfj2rUMMGysM0jYtO6njWM/s1600/Nia%20Patilvanshi.jpg
Nidhi Verma,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjZlOS8WIPaDmQaJxgMIOgoOruUwh-pI1bSJ4r29sW2xLDty51VyPtcervAjIMefkaIcDaTg_CT6J2jg7Y9Vd528Hr3V16uqzWlvgMby4bjNKMtFpVbQRZwGaQiMNsk6M9CmnhGo2eW4V3rv08HyThvmYoxk5cot4IdYJJ7O6JoPdO1IPmPqvTuLcS0VE/s1600/Nidhi%20Verma.jpg
Natasha Bhardwaj (Nikita),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhv7s8cz_XIAPgk7gpYffjNTJy5KLiDuanuVzYbuxZDD42HAVKQDpvKlR3oaVkcqbtt-hnqI-FJXl7YInlFEjKbeQ4XWomWPVLrZVw4YPdRDUfsEEvUJwDfkY6z2rEGKBNRgaAYold09-Cc4ILJMmIBz6RO7Pi3EijEY1QmfmPTBwTCb5xhG0qwDFmJ8Cw/s1600/Nikita%20Bhardwaj.jpg
Pari Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2rEKHFcPHApVh1D6O-0IUeTjX-l45Rxcwpqejd1OVz8sDbrA7628pUwLVrHYd_fDCsOOp9YvSqYDbikLm7ZD8K-_yALI7-6C6qA5jKifoAMC0bKlTpgD0gu_fbyKZtKTRIdHypB-UWTOspVBt4MlSjV6FVXB7r9RpiSf-Ugv9CxzXRuxnNSP0jk2F88g/s1600/Pari%20Raj.png
Pihu Sharma (Pihu Kanojia),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhVcg65dXWuzTN2hcRfTBgyDz9qZF-D6MKDCcunrKZ_D11ctbQnvgf4bkSWxsQGDViHN52uLmDusJQbiuyWFZpQppMObVOdpUXWSwPLsLc3FHuyWdXF3BoQ09Wsn67jqbKNFysfdLMA5WwUBKD1ZHZRD3zOL7sGORgsUNEUnpES-0zt_j3s34HLEDnTIr0/s1600/Pihu.jpg
Prajakta jahagirdar,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCI2kpfsWJ7NIckz1Ejz-SS1kV6aqJypBD9I75r3N5TsP8vVsK70Q-UHBuukra9lsTp0joqWfl3S0wzfeBkoe9TIF4KE2klndJq-EPx6x8xSZsXUTDR2GDE3TCC1FtORaqDQEhNx8xCVLZFrlRBue-L5hzKw_ciFsT1ujySyJ1UUZgdJQNJ4JaIbJtPkc/s1600/Prajakta.png
Pratibha Soni (aka Divya),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhoP8-5Ew3zugjEDeYN1X3PtdLywh4wud2ZGYAHtcvGAW7RZ2a9AEpKpBfA-9V-2Au01ZBfHefGPTzG8EplKCV8UmlCd4c6Hxn2ePlkoZ3cEiXuVo9SiU5gbQaQ8cj9r3zL8OWIpYJ_j3RK92yTZFnfcuwiAG-PqgvA-X35zlWLj5ZmTmZQZgfrn7saJFY/s1600/Pratibha%20soni%20%28Divya%29.png
Preeti puneet kaur,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjCjbIM4UG4zaxQUkor_cdMTgmjSUkibbCRtG9FFxr8K0T9UvJFjmXeDriRJM17r8ppw2fKhSC1vF8ST92rbsmqw0oLMfpP_6ree-N4E5_cDYvKQvPSY85YZM8-9c3yGDFbVmCvrMz9SVQYPHP5P8ehYw7d_UNrlBKcEyd68UTpBD5iyGgjPwzeOu0Fke8/s1600/Preeti%20Puneet%20kaur.png
Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgqfPCr-7RTxuXamqQTsZFojMNRAr2iYNnIjSvhSZOFhKOVSTbQWYw1QJqiNPeCMCSd_CN_WpNiBBL7k2IzPvy0dX9EAw23OaZpfuogP8qVrEIinqTwwoQtNEyZUMlLfw7uXb21jmvh8dS6VP1OWgduR5MZ2DE1ZV7x9jFYngp1WABqaQ7dgZbq6ar1yZ4/s1600/Raj.png
Rajsi Verma,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhbC2RDhoH_vNPCOWz5SjYhwK2UeoUeK7_zIzNIztA2Kt1k5JHUhVa5frCpmgmrT9sn0fi8r_svJRGWxfPZf43OFIJhr4ZSMlESmHyx_wIYBVYrMqtJ9yFMyPWWzbPvbn8Q8yCAJ-K9u7jSP9ALTnylHP8fSbdIXx4ZiGRA6-1qh0tnfyzovREezlCRRjs/s1600/Rajsi%20verma.png
Roshni (aka Ranjana Arora),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgfaoI2ReSFYXIROBg8pFxuDgqgUdfD5Gc_sqPcoxMuxrVhAL3QQ5XclUgeFmNnm4C9quQiuB7Y4250YDvIwjn1c4hJsmMz0XA2wc8sKtjmgFa-EdqRqcWfJSceNFEs0VCV4fWeaeGmxS8vHEYIfgtiynfKoLwPB3gi2Xc9ASjD0iCepq3Z_rmrodlrlNg/s1600/Ranjana%20Arora.jpg
Ravi Gosai,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgn5qHHm9QRnQIXO7DD3YbqSacLzJKf09M5P8esXDlOoPZ-VBkZn1643678x_Ju1SJoyguGP9VuGvIYA4Npq9JDcKshwKYW2cTC-E4vJUP9kGvDxl_HSM-duLLRUSkF23RYtcUL6EW4YvHBwM3lrqov3mM26_c2Fgm4pbATwUJAOwskVpjqZnpYQrdGrfE/s1600/Ravi%20Gosai.png
Rekha Verma,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjPxWjLpQejQoudYHT5UzFb-12CmLm9SUUTBJpjmQ9sAoj5aCDuZWcf6V-Vw4CVIyGtM5j03-lDKBeMrfJI5JUVRzZ9gsjiiP6YMnKCeMG54mlu1wneJHCuByyj7-XwdtBqVHemtixaQjQq7vQJY8nfBhukOLBiXYfQ7DCnG1xzp3VdJASoGLsts_YAL0w/s1600/Rekha%20Verma.png
